,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,benito juarez,75,MX,1587428189,34,19.39,-99.17,80.6,17.22
1,hobart,40,AU,1587427898,66,-42.88,147.33,55.0,9.17
2,rikitea,24,PF,1587428092,71,-23.12,-134.97,77.13,9.42
3,santiago,69,CL,1587428102,23,-33.46,-70.65,77.0,8.05
4,victoria,20,HK,1587428114,74,22.29,114.16,81.0,4.7
5,hilo,1,US,1587428132,54,19.73,-155.09,82.4,18.34
6,esperance,11,AU,1587428108,82,-33.87,121.9,57.2,10.29
7,kavieng,71,PG,1587428108,68,-2.57,150.8,84.83,4.34
8,cape town,75,ZA,1587427959,93,-33.93,18.42,59.0,2.24
9,saskylakh,84,RU,1587427926,97,71.92,114.08,24.49,10.07
10,san pedro,20,PH,1587428195,70,14.35,121.02,88.0,6.93
11,cherskiy,100,RU,1587428111,94,68.75,161.3,14.41,7.52
12,tual,23,ID,1587428196,74,-5.67,132.75,84.09,7.23
13,clyde river,90,CA,1587428197,77,70.47,-68.59,1.4,10.29
14,shimoni,95,KE,1587428197,79,-4.65,39.38,79.65,11.72
15,dinghai,90,CN,1587428198,93,26.28,119.79,62.6,8.95
16,kruisfontein,96,ZA,1587428149,76,-34.0,24.73,61.18,10.56
17,kapaa,90,US,1587428099,61,22.08,-159.32,80.6,16.11
18,sao filipe,2,CV,1587428117,77,14.9,-24.5,72.45,13.15
19,jamestown,1,US,1587428094,32,42.1,-79.24,44.01,5.82
20,kieta,60,PG,1587428146,67,-6.22,155.63,85.28,0.85
21,tuktoyaktuk,90,CA,1587428128,84,69.45,-133.04,8.6,9.17
22,cay,98,TR,1587428202,48,38.59,31.03,57.42,1.23
23,busselton,23,AU,1587428120,73,-33.65,115.33,62.01,11.05
24,sisimiut,68,GL,1587428203,90,66.94,-53.67,25.92,2.26
25,camana,33,PE,1587428204,74,-16.62,-72.71,69.53,4.9
26,ushuaia,75,AR,1587428204,75,-54.8,-68.3,44.6,32.21
27,longyearbyen,20,SJ,1587428097,62,78.22,15.64,21.2,24.16
28,saquena,9,PE,1587428205,65,-4.67,-73.52,75.87,1.34
29,gaoyou,81,CN,1587428206,74,32.79,119.43,52.79,4.47
30,rudbar,61,AF,1587428208,27,30.15,62.6,75.7,7.61
31,bengkulu,49,ID,1587428117,78,-3.8,102.27,78.85,4.47
32,aanekoski,84,FI,1587428209,91,62.69,25.82,36.0,4.7
33,mar del plata,40,AR,1587428108,88,-38.0,-57.56,62.6,8.05
34,bluff,87,NZ,1587428210,73,-46.6,168.33,57.0,5.01
35,petropavlovsk-kamchatskiy,58,RU,1587428211,27,53.05,158.65,37.4,8.95
36,tarsus,29,TR,1587428160,100,36.92,34.88,59.0,1.12
37,kodiak,90,US,1587428088,87,57.79,-152.41,44.6,10.29
38,saint-philippe,75,RE,1587428100,68,-21.36,55.77,71.6,5.82
39,puerto ayora,40,EC,1587428101,70,-0.74,-90.35,84.2,13.87
40,mazatlan,40,MX,1587428214,69,23.22,-106.42,77.0,8.05
41,red bank,1,US,1587428214,39,40.35,-74.06,51.01,3.36
42,punta arenas,40,CL,1587428090,76,-53.15,-70.92,48.2,5.82
43,barrow,90,US,1587427802,84,71.29,-156.79,6.8,8.05
44,airai,68,TL,1587428216,63,-8.93,125.41,67.23,3.44
45,vaini,75,TO,1587428093,78,-21.2,-175.2,82.4,10.29
46,los llanos de aridane,40,ES,1587428109,68,28.66,-17.92,66.2,21.92
47,miragoane,17,HT,1587428218,73,18.44,-73.09,80.89,9.64
48,norman wells,90,CA,1587428099,80,65.28,-126.83,33.8,5.82
49,raudeberg,0,NO,1587428221,71,61.99,5.14,46.99,4.74
50,caravelas,20,BR,1587428158,80,-17.71,-39.25,75.79,12.66
51,port alfred,45,ZA,1587428095,92,-33.59,26.89,64.99,1.99
52,emilio carranza,19,MX,1587428223,81,19.97,-96.61,81.68,1.41
53,dikson,100,RU,1587428099,98,73.51,80.55,30.31,23.2
54,sitka,90,US,1587428119,93,57.05,-135.33,44.6,12.75
55,arraial do cabo,1,BR,1587428108,74,-22.97,-42.03,74.43,6.11
56,codrington,93,AU,1587428090,67,-38.27,141.97,58.64,18.43
57,port augusta,17,AU,1587428226,72,-32.5,137.77,66.99,9.17
58,bayshore gardens,75,US,1587428226,88,27.43,-82.59,75.0,3.36
59,chokurdakh,100,RU,1587428108,97,70.63,147.92,22.24,6.04
60,hermanus,99,ZA,1587428095,99,-34.42,19.23,57.0,8.05
61,vestmanna,0,FO,1587428228,93,62.16,-7.17,41.0,6.93
62,wanaka,94,NZ,1587428229,52,-44.7,169.15,53.1,4.65
63,hofn,87,IS,1587428115,84,64.25,-15.21,45.84,3.04
64,mataura,93,NZ,1587428101,73,-46.19,168.86,57.0,5.01
65,constitucion,42,CL,1587427927,56,-35.33,-72.42,60.82,9.71
66,meulaboh,58,ID,1587428151,83,4.14,96.13,79.21,4.5
67,grindavik,90,IS,1587428142,100,63.84,-22.43,46.4,26.4
68,shar,0,KZ,1587428232,53,49.59,81.05,47.44,1.7
69,butaritari,95,KI,1587428093,78,3.07,172.79,82.62,13.69
70,asha,100,RU,1587428233,87,55.0,57.27,38.8,5.21
71,husavik,56,IS,1587428109,75,66.04,-17.34,44.6,13.87
72,kasama,15,ZM,1587428235,66,-10.21,31.18,57.6,2.19
73,avarua,4,CK,1587428018,74,-21.21,-159.78,84.2,13.87
74,bathsheba,75,BB,1587428131,88,13.22,-59.52,77.0,18.34
75,namie,75,JP,1587428236,71,37.48,141.0,64.0,4.7
76,hami,27,CN,1587428101,21,42.8,93.45,56.5,5.23
77,upernavik,100,GL,1587428127,90,72.79,-56.15,28.81,3.02
78,kvarkeno,46,RU,1587428238,86,52.08,59.73,41.0,8.3
79,smithers,20,CA,1587428127,27,54.78,-127.17,64.4,21.92
80,ponta do sol,20,PT,1587428095,55,32.67,-17.1,62.6,5.82
81,east london,72,ZA,1587428099,70,-33.02,27.91,70.36,11.7
82,paithan,0,IN,1587428240,20,19.48,75.38,75.67,4.94
83,gazli,0,UZ,1587428241,25,40.13,63.45,65.86,2.28
84,saldanha,100,ZA,1587428100,82,-33.01,17.94,59.0,2.24
85,krasnoselkup,100,RU,1587428100,96,65.7,82.47,33.01,7.52
86,ribeira grande,75,PT,1587428111,77,38.52,-28.7,62.6,20.8
87,athens,40,GR,1587427969,77,37.98,23.72,64.4,3.36
88,castro,1,BR,1587427927,62,-24.79,-50.01,56.46,2.62
89,carnarvon,75,AU,1587428139,60,-24.87,113.63,68.0,12.75
90,campohermoso,40,ES,1587428245,72,36.94,-2.13,60.8,20.8
91,thompson,40,CA,1587428152,41,55.74,-97.86,21.2,10.29
92,xai-xai,0,MZ,1587428246,87,-25.05,33.64,71.08,5.37
93,drayton valley,32,CA,1587428247,53,53.22,-114.99,59.31,4.43
94,yerbogachen,2,RU,1587428247,85,61.28,108.01,30.83,5.46
95,benguela,62,AO,1587428248,83,-12.58,13.41,78.6,3.56
96,markova,55,UA,1587428249,74,48.68,24.41,32.18,0.36
97,carinhanha,29,BR,1587428249,77,-14.3,-43.77,71.35,4.41
98,potrero del llano,5,MX,1587428250,74,21.05,-97.68,86.0,9.17
99,bethel,1,US,1587428114,32,41.37,-73.41,51.8,4.7
100,bandarbeyla,86,SO,1587428251,79,9.49,50.81,81.19,10.63
101,hof,0,DE,1587428252,52,50.32,11.92,43.0,11.99
102,chake chake,99,TZ,1587428252,75,-5.25,39.77,82.87,16.11
103,kaitangata,86,NZ,1587428098,58,-46.28,169.85,55.72,3.76
104,mago,100,RU,1587428254,94,53.25,140.18,27.05,18.43
105,atuona,2,PF,1587428090,72,-9.8,-139.03,82.62,11.23
106,tecoanapa,9,MX,1587428255,66,16.52,-98.75,83.34,7.9
107,yellowknife,90,CA,1587428091,57,62.46,-114.35,23.0,6.93
108,alice springs,75,AU,1587428257,41,-23.7,133.88,75.2,14.99
109,sterling,20,US,1587428257,54,39.01,-77.43,59.0,4.7
110,georgetown,20,MY,1587428107,94,5.41,100.34,80.6,1.12
111,souillac,40,MU,1587428145,78,-20.52,57.52,77.0,17.22
112,tommot,57,RU,1587428259,87,58.96,126.29,23.09,3.04
113,makinsk,100,KZ,1587428260,54,52.63,70.42,54.88,7.36
114,provideniya,64,RU,1587428108,73,64.38,-173.3,23.0,8.95
115,vila velha,66,BR,1587428128,78,-20.33,-40.29,75.2,8.05
116,mamou,93,GN,1587428261,62,10.5,-12.0,76.14,3.31
117,kangaatsiaq,29,GL,1587428262,89,68.31,-53.46,28.96,9.33
118,umuahia,60,NG,1587428262,89,5.53,7.49,76.37,4.14
119,albany,20,US,1587428094,31,42.6,-73.97,51.01,5.82
120,beitbridge,0,ZW,1587428264,56,-22.22,30.0,67.21,6.69
121,alofi,75,NU,1587428105,70,-19.06,-169.92,84.2,13.87
122,nalagarh,99,IN,1587428265,42,31.05,76.72,69.4,3.33
123,sakakah,87,SA,1587428152,52,29.97,40.21,69.8,4.7
124,port lincoln,14,AU,1587428090,62,-34.73,135.87,66.61,23.06
125,gizo,92,SB,1587428267,65,-8.1,156.84,86.72,6.06
126,takoradi,15,GH,1587428223,81,4.88,-1.76,81.73,10.18
127,ulaangom,63,MN,1587428162,44,49.98,92.07,40.53,1.54
128,college,90,US,1587428138,81,64.86,-147.8,44.01,0.56
129,suntar,91,RU,1587428269,93,62.14,117.63,29.07,4.18
130,chapais,90,CA,1587428101,38,49.78,-74.85,26.6,6.93
131,rabat,75,MA,1587428270,72,33.99,-6.84,63.0,12.75
132,vestmannaeyjar,90,IS,1587428101,89,63.44,-20.27,46.98,28.63
133,cidreira,0,BR,1587428097,88,-30.18,-50.21,67.57,10.87
134,tessalit,0,ML,1587428103,14,20.2,1.01,79.52,12.5
135,guerrero negro,82,MX,1587428149,66,27.98,-114.06,64.42,21.97
136,pokhara,100,NP,1587427929,36,28.23,83.98,62.2,3.22
137,sidi ali,9,DZ,1587428274,75,36.1,0.42,56.19,14.14
138,wattegama,25,LK,1587428274,86,6.8,81.48,75.85,2.93
139,hithadhoo,73,MV,1587428275,70,-0.6,73.08,84.58,8.19
140,takhtamygda,100,RU,1587428276,75,54.1,123.57,24.03,16.22
141,krasnoyarskiy,40,RU,1587428276,87,51.97,59.9,40.78,8.97
142,onega,96,RU,1587428277,95,63.91,38.14,32.68,5.17
143,poum,12,NC,1587428144,78,-20.23,164.02,78.3,13.69
144,te anau,91,NZ,1587428147,64,-45.42,167.72,52.88,3.56
145,nagorsk,29,RU,1587428279,92,59.32,50.81,31.5,3.87
146,villa carlos paz,0,AR,1587428280,56,-31.42,-64.5,75.0,5.82
147,tabora,100,TZ,1587428286,68,-5.02,32.8,65.07,3.87
148,nikolskoye,75,RU,1587428117,80,59.7,30.79,41.0,6.71
149,mayumba,98,GA,1587428287,85,-3.43,10.66,77.16,9.01
150,nizhniy kuranakh,70,RU,1587428287,88,58.84,125.49,20.84,5.06
151,bambous virieux,40,MU,1587428100,78,-20.34,57.76,77.0,17.22
152,pangnirtung,100,CA,1587428134,93,66.15,-65.71,19.04,2.39
153,mungeli,28,IN,1587428289,27,22.07,81.68,80.08,0.74
154,basco,42,PH,1587428290,87,20.45,121.97,79.72,8.95
155,ancud,20,CL,1587428102,87,-41.87,-73.82,44.6,4.7
156,berezna,73,UA,1587428292,80,51.57,31.78,35.37,8.77
157,siderno,55,IT,1587428292,27,38.28,16.3,63.0,7.61
158,amalapuram,59,IN,1587428293,91,16.58,82.02,76.75,2.62
159,namatanai,72,PG,1587428124,66,-3.67,152.43,84.6,2.06
160,sherman,5,US,1587428189,64,33.64,-96.61,71.01,4.7
161,pontes e lacerda,78,BR,1587428296,85,-15.23,-59.34,73.63,2.15
162,praia da vitoria,40,PT,1587428302,72,38.73,-27.07,59.0,17.09
163,sinnamary,100,GF,1587428303,86,5.38,-52.95,78.71,8.66
164,kawalu,98,ID,1587428152,81,-7.38,108.21,76.59,0.74
165,tiznit,52,MA,1587428304,72,29.58,-9.5,55.94,9.06
166,parati,22,BR,1587428227,73,-23.22,-44.71,71.8,1.72
167,ilulissat,55,GL,1587428119,58,69.22,-51.1,28.4,4.7
168,yeniseysk,9,RU,1587428310,77,58.45,92.17,34.88,6.53
169,flinders,40,AU,1587428311,55,-34.58,150.86,70.0,6.93
170,santa maria,0,BR,1587428173,68,-29.68,-53.81,68.0,2.24
171,aklavik,90,CA,1587428098,78,68.22,-135.01,12.2,9.17
172,khani,100,GE,1587428152,87,41.96,42.96,55.4,12.75
173,baruun-urt,3,MN,1587428117,59,46.68,113.28,22.98,21.88
174,dauphin,100,CA,1587428314,76,51.15,-100.05,31.95,10.38
175,tasiilaq,100,GL,1587428120,87,65.61,-37.64,35.6,13.87
176,kollam,20,IN,1587428169,78,8.88,76.6,82.4,3.36
177,saint-pierre,75,RE,1587428135,68,-21.34,55.48,71.6,5.82
178,lompoc,40,US,1587428094,72,34.64,-120.46,60.8,13.87
179,svetlyy,0,RU,1587428317,100,54.67,20.13,39.2,4.47
180,honningsvag,79,NO,1587428318,76,70.98,25.97,38.71,26.73
181,vila do maio,20,CV,1587428318,73,15.13,-23.22,71.6,17.22
182,katsuura,75,JP,1587428098,87,35.13,140.3,64.0,3.36
183,broome,1,US,1587428121,38,42.25,-75.83,46.0,4.7
184,veraval,0,IN,1587428322,77,20.9,70.37,77.2,10.42
185,kaputa,18,ZM,1587428323,68,-8.47,29.66,65.5,0.13
186,olga,100,RU,1587428324,90,43.74,135.29,38.3,3.53
187,antofagasta,75,CL,1587428207,77,-23.65,-70.4,64.4,12.75
188,port elizabeth,75,ZA,1587428094,82,-33.92,25.57,64.4,12.75
